item name中文,model name中文,price,image url,product link,二级类目,三级类目,四级类目,邀请码,model id,final_1688_link,price judge,销售优先级,itemid,最大价格,销售优先级,该款式有sku数,是否有高价品加投资源,是否为重抛货,是否重点招募
1000个 - 可拆卸方形醋酸纤维模具，适用于糖果/巧克力 - 3.3x3.3x2.0 F4L013,1000个 - 可拆卸方形醋酸纤维模具，适用于糖果/巧克力 - 3.3x3.3x2.0 F4L013,8,https://cf.shopee.com.br/file/br-11134207-7r98o-m18waqm8dq6806,http://shopee.com.br/product/738301478/22097609173,派对用品,其他的,,IVCN2026091815149,238769073468,,P2,高销售优先级,22097609173,8,高销售优先级,1,否,是,是
COD OlympusLighting LED 超薄矩形双方形针形筒灯 2 x 7W（可更换灯泡）,黑色外壳，2 x 7W，暖白光 3000K,23.66,https://cf.shopee.ph/file/2af90b7cae8e37112775156165afb0d5,http://shopee.ph/product/295396595/18940719867,灯光,室内固定照明-其他,筒灯/射灯/镶嵌灯/轨道灯/壁灯/镜前灯/橱窗灯,IVCN2026091814811,29143486863,https://detail.1688.com/offer/665448032195.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P0,高销售优先级,18940719867,23.66,高销售优先级,1,否,是,是
LED高棚灯 100W 200W 300W 工业灯 LED吊灯 适用于仓库篮球场,1PC 100W 链条,36,https://cf.shopee.ph/file/ph-11134207-7qul7-ljjfly0eqgen26,http://shopee.ph/product/409854929/20288138031,灯光,工业照明,工矿灯/高棚灯,IVCN2026091814953,148295621552,https://detail.1688.com/offer/734520535312.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P0,高销售优先级,20288138031,36,高销售优先级,2,否,是,是
Eroma 全光谱护眼落地灯，带桌面托盘，三色 LED 灯泡，适用于客厅,🤎白色+木质桌子,87.25,https://cf.shopee.ph/file/ph-11134207-81ztk-mlrkranktxqca5,http://shopee.ph/product/572381119/27653066140,灯光,室内移动照明,台灯/落地灯/夹子灯/学习灯/小夜灯,IVCN2026091816175,335517962634,https://detail.1688.com/offer/782399117083.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=a8dc0d816cfe4becb4dc93ee62bc844e&sessionid=d7ecb1a01bb0f01864b3755301da14de,P0,高销售优先级,27653066140,87.25,高销售优先级,3,否,是,是
40英寸高中心装饰套装，含6根铁柱，适用于派对和装饰，尺寸：40英寸高 x 12英寸宽 x 12英寸高,所以,31.09,https://cf.shopee.com.br/file/br-11134207-820lk-msbo38q7uholb7,http://shopee.com.br/product/413874665/22194412129,派对用品,其他的,,IVCN2026091815195,219613631845,https://detail.1688.com/offer/949517956919.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P0,高销售优先级,22194412129,31.09,高销售优先级,2,否,是,是
Galaxy Lamp V2 蓝牙音箱 CHILNEXX 装饰投影仪，可投射月亮和星星的极光，是房间装饰和礼物的理想之选。,V2 白色，带充电器,32,https://cf.shopee.vn/file/vn-11134207-81ztc-mpj920dyazgrf3,http://shopee.vn/product/76742863/20333416671,灯光,装饰圆形灯,灯串/灯带/窗帘灯/装饰灯/舞台,IVCN2026091814963,109586251622,"相似款：
https://detail.1688.com/offer/859336933549.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0",P1,高销售优先级,20333416671,32,高销售优先级,1,否,是,是
Topper.story 加厚 5 英寸床垫垫层。采用棉涤混纺面料，柔软舒适，有助于缓解背部疼痛。,仅限浅灰色，5英尺。,90,https://cf.shopee.co.th/file/th-11134207-81zte-mrmzwkmqbny80c,http://shopee.co.th/product/452461868/20831389443,寝具,床垫保护套和床垫垫层,,IVCN2026091815001,201617492720,https://detail.1688.com/offer/520412811004.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P0,高销售优先级,20831389443,90,高销售优先级,7,否,是,是
EVE 太阳能杆灯，3 种颜色变化选项，50 瓦，有圆形和方形两种形状可选。,圆形（有缺陷）,32,https://cf.shopee.co.th/file/th-11134207-81zto-mqh5z21zzs3m02,http://shopee.co.th/product/43533927/28105925999,灯光,太阳能灯,太阳能庭院灯,IVCN2026091816193,280921438015,https://detail.1688.com/offer/854681617058.html?spm=a26352.b28411319.offerlist.1.230b1e62tBC9ue&cosite=-&tracelog=p4p&_p_isad=1&clickid=ad1b12671d424f8bbc1fbdd7a817b723&sessionid=7a5d38f4e7108ef94512d86666c48d8f,P0,高销售优先级,28105925999,32,高销售优先级,1,否,是,是
6 件套床上用品（6 英尺羽绒被），100% 纯棉，简约纯色，11 英寸高的边角。,珍珠白，6 英尺，6 件。,54.35,https://cf.shopee.co.th/file/th-11134207-7rask-m6j32ckt592nbd,http://shopee.co.th/product/1116614594/19695488489,寝具,其他的,,IVCN2026091814889,147121325523,"相似款：https://detail.1688.com/offer/741948606270.html?spm=a26352.13672862.offerlist.23.35da1e62MPw2tY&cosite=-&tracelog=p4p&_p_isad=1&clickid=7e692434d0544ba7ab8bb564b77712ea&sessionid=3b84e8fc40ff178213a0b64a6e548b25
https://detail.1688.com/offer/547608562239.html?spm=a26352.13672862.offerlist.56.86921e62bfc0tW&offerId=547608562239&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=4996213662692&trace_log=normal&uuid=4bbe028f5c484a1faab550a3cfdd1991&forcePC=1765161819769",P1,高销售优先级,19695488489,54.35,高销售优先级,5,否,是,是
E27 LED灯泡 3W 6W DC 12V 9W 12W 15W 18W 12伏，节能，适用于户外使用。,15瓦，暖白光 6500K,2.61,https://cf.shopee.co.th/file/cn-11134207-7ras8-mdfvhsivqpkjac,http://shopee.co.th/product/779566946/14387178872,灯光,灯泡/灯管,灯泡/灯管,IVCN2026091814603,190579714168,相似款：https://detail.1688.com/offer/614930809947.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,高销售优先级,14387178872,2.61,高销售优先级,1,否,是,是
MODI 500W 太阳能路灯，杆式安装，白光，防水等级 IP65。,500瓦,230,https://cf.shopee.co.th/file/th-11134207-7rask-m67rlrna2vavb0,http://shopee.co.th/product/60805513/28576133912,灯光,太阳能灯,太阳能路灯,IVCN2026091816233,128214541589,相似款：https://detail.1688.com/offer/906963806209.html?kj_agent_plugin=aliprice&fromkv=xytTrace:210702e017737291862777271e0ec6&token=loAiHi1iR1%2BH2NU9VkU%2FE6kEvpwl1qTlFYo%2Fqs%2BjbmDlBySyywepQAPDrXLo3dkV,P1,高销售优先级,28576133912,230,高销售优先级,1,否,是,是
"飞利浦 LED Meson 筒灯 17W 150 59466 6 英寸 (6"") 原装飞利浦 IO Gen3、Gen4 保修，由飞利浦服务中心提供",4000K 冷黄 g4,10.88,https://cf.shopee.co.th/file/th-11134207-7r98w-lr7it04jilpq15,http://shopee.co.th/product/16039209/11751315736,灯光,室内固定照明-其他,筒灯/射灯/镶嵌灯/轨道灯/壁灯/镜前灯/橱窗灯,IVCN2026091814525,197303861804,相似款：https://detail.1688.com/offer/725320781427.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,高销售优先级,11751315736,10.88,高销售优先级,1,否,是,是
